drug1_db,drug2_db,Drug12,gene1,gene2,gene12
DB07352,DB08877,155,"['FLT3', 'XDH', 'TNKS', 'MAPK10', 'CYP1B1', 'AR', 'CDK5', 'ABCB1', 'KARS1', 'CYP1A2', 'PIM1', 'CYP1A1', 'NOX4', 'ABCG2', 'ABCC1', 'MAOA', 'HSD17B3', 'HSD17B1', 'PTGS2', 'ESR1', 'ESR2', 'CYP19A1', 'MAPK14', 'CDK6', 'TNKS2']","['EPHA3', 'GRK4', 'RIOK3', 'DAPK1', 'SBK1', 'MYLK', 'OXSR1', 'PAK5', 'JAK3', 'EPHB6', 'AURKC', 'MKNK2', 'JAK2', 'PRKCE', 'LRRK2', 'GRK7', 'IKBKB', 'CLK2', 'STK17A', 'MELK', 'BMPR2', 'CLK4', 'MAP3K15', 'BMP2K', 'NUAK2', 'DCLK2', 'MARK2', 'STK17B', 'DMPK', 'PLK3', 'PLK1', 'NEK3', 'MAP2K2', 'DYRK2', 'MAP3K3', 'RPS6KA1', 'HIPK2', 'CDK7', 'CAMK1D', 'IKBKE', 'TBK1', 'ALK', 'ROCK2', 'PI4KB', 'ULK3', 'RIOK2', 'CAMK1G', 'PLK4', 'STK25', 'STK16', 'ROCK1', 'ULK2', 'RIOK1', 'ABL1', 'PLK2', 'TTK', 'STK26', 'HIPK3', 'BMPR1B', 'AAK1', 'MAP3K7', 'KIT', 'RPS6KA4', 'BRAF', 'CAMK1', 'RPS6KA6', 'DCLK3', 'NTRK2', 'MAP2K3', 'PHKG1', 'DCLK1', 'TAOK3', 'DAPK3', 'PAK6', 'MAP2K1', 'TAOK1', 'ULK1', 'CSNK2A2', 'HIPK1', 'MAP3K1', 'NEK7', 'VRK2', 'MAP3K19', 'ERN1', 'TNK2', 'DYRK1A', 'MAP4K2', 'CAMK2G', 'TYK2', 'GRK1', 'RPS6KA5', 'SIK3', 'DAPK2', 'PAK4', 'CASK', 'RIPK4', 'GAK', 'STK39', 'LTK', 'PHKG2', 'NTRK1', 'RET', 'CAMK2A', 'NTRK3', 'SRPK3', 'TAOK2', 'PRKG2', 'MAPK8', 'MAST1', 'MAP2K4', 'CSNK1A1', 'RPS6KA2', 'MAP3K2', 'SRPK1', 'CAMK2D', 'JAK1', 'CAMK2B', 'IRAK1']",['CSNK2A1']
DB06605,DB08877,156,['F10'],"['EPHA3', 'GRK4', 'RIOK3', 'DAPK1', 'SBK1', 'MYLK', 'OXSR1', 'PAK5', 'JAK3', 'EPHB6', 'AURKC', 'MKNK2', 'JAK2', 'PRKCE', 'LRRK2', 'GRK7', 'IKBKB', 'CLK2', 'STK17A', 'MELK', 'BMPR2', 'CLK4', 'MAP3K15', 'BMP2K', 'NUAK2', 'DCLK2', 'MARK2', 'STK17B', 'DMPK', 'PLK3', 'PLK1', 'NEK3', 'MAP2K2', 'DYRK2', 'MAP3K3', 'RPS6KA1', 'HIPK2', 'CDK7', 'CAMK1D', 'IKBKE', 'TBK1', 'ALK', 'ROCK2', 'PI4KB', 'ULK3', 'RIOK2', 'CAMK1G', 'PLK4', 'STK25', 'STK16', 'ROCK1', 'ULK2', 'RIOK1', 'ABL1', 'PLK2', 'TTK', 'STK26', 'HIPK3', 'BMPR1B', 'AAK1', 'MAP3K7', 'KIT', 'RPS6KA4', 'BRAF', 'CAMK1', 'RPS6KA6', 'DCLK3', 'NTRK2', 'MAP2K3', 'PHKG1', 'DCLK1', 'TAOK3', 'DAPK3', 'PAK6', 'MAP2K1', 'TAOK1', 'ULK1', 'CSNK2A2', 'HIPK1', 'MAP3K1', 'NEK7', 'VRK2', 'MAP3K19', 'ERN1', 'CSNK2A1', 'TNK2', 'DYRK1A', 'MAP4K2', 'CAMK2G', 'TYK2', 'GRK1', 'RPS6KA5', 'SIK3', 'DAPK2', 'PAK4', 'CASK', 'RIPK4', 'GAK', 'STK39', 'LTK', 'PHKG2', 'NTRK1', 'RET', 'CAMK2A', 'NTRK3', 'SRPK3', 'TAOK2', 'PRKG2', 'MAPK8', 'MAST1', 'MAP2K4', 'CSNK1A1', 'RPS6KA2', 'MAP3K2', 'SRPK1', 'CAMK2D', 'JAK1', 'CAMK2B', 'IRAK1']",[]
DB04365,DB08877,157,"['CHRM2', 'CHRM5', 'CHRM1', 'CHRM3', 'CHRM4']","['EPHA3', 'GRK4', 'RIOK3', 'DAPK1', 'SBK1', 'MYLK', 'OXSR1', 'PAK5', 'JAK3', 'EPHB6', 'AURKC', 'MKNK2', 'JAK2', 'PRKCE', 'LRRK2', 'GRK7', 'IKBKB', 'CLK2', 'STK17A', 'MELK', 'BMPR2', 'CLK4', 'MAP3K15', 'BMP2K', 'NUAK2', 'DCLK2', 'MARK2', 'STK17B', 'DMPK', 'PLK3', 'PLK1', 'NEK3', 'MAP2K2', 'DYRK2', 'MAP3K3', 'RPS6KA1', 'HIPK2', 'CDK7', 'CAMK1D', 'IKBKE', 'TBK1', 'ALK', 'ROCK2', 'PI4KB', 'ULK3', 'RIOK2', 'CAMK1G', 'PLK4', 'STK25', 'STK16', 'ROCK1', 'ULK2', 'RIOK1', 'ABL1', 'PLK2', 'TTK', 'STK26', 'HIPK3', 'BMPR1B', 'AAK1', 'MAP3K7', 'KIT', 'RPS6KA4', 'BRAF', 'CAMK1', 'RPS6KA6', 'DCLK3', 'NTRK2', 'MAP2K3', 'PHKG1', 'DCLK1', 'TAOK3', 'DAPK3', 'PAK6', 'MAP2K1', 'TAOK1', 'ULK1', 'CSNK2A2', 'HIPK1', 'MAP3K1', 'NEK7', 'VRK2', 'MAP3K19', 'ERN1', 'CSNK2A1', 'TNK2', 'DYRK1A', 'MAP4K2', 'CAMK2G', 'TYK2', 'GRK1', 'RPS6KA5', 'SIK3', 'DAPK2', 'PAK4', 'CASK', 'RIPK4', 'GAK', 'STK39', 'LTK', 'PHKG2', 'NTRK1', 'RET', 'CAMK2A', 'NTRK3', 'SRPK3', 'TAOK2', 'PRKG2', 'MAPK8', 'MAST1', 'MAP2K4', 'CSNK1A1', 'RPS6KA2', 'MAP3K2', 'SRPK1', 'CAMK2D', 'JAK1', 'CAMK2B', 'IRAK1']",[]
DB00278,DB08877,158,['F2'],"['EPHA3', 'GRK4', 'RIOK3', 'DAPK1', 'SBK1', 'MYLK', 'OXSR1', 'PAK5', 'JAK3', 'EPHB6', 'AURKC', 'MKNK2', 'JAK2', 'PRKCE', 'LRRK2', 'GRK7', 'IKBKB', 'CLK2', 'STK17A', 'MELK', 'BMPR2', 'CLK4', 'MAP3K15', 'BMP2K', 'NUAK2', 'DCLK2', 'MARK2', 'STK17B', 'DMPK', 'PLK3', 'PLK1', 'NEK3', 'MAP2K2', 'DYRK2', 'MAP3K3', 'RPS6KA1', 'HIPK2', 'CDK7', 'CAMK1D', 'IKBKE', 'TBK1', 'ALK', 'ROCK2', 'PI4KB', 'ULK3', 'RIOK2', 'CAMK1G', 'PLK4', 'STK25', 'STK16', 'ROCK1', 'ULK2', 'RIOK1', 'ABL1', 'PLK2', 'TTK', 'STK26', 'HIPK3', 'BMPR1B', 'AAK1', 'MAP3K7', 'KIT', 'RPS6KA4', 'BRAF', 'CAMK1', 'RPS6KA6', 'DCLK3', 'NTRK2', 'MAP2K3', 'PHKG1', 'DCLK1', 'TAOK3', 'DAPK3', 'PAK6', 'MAP2K1', 'TAOK1', 'ULK1', 'CSNK2A2', 'HIPK1', 'MAP3K1', 'NEK7', 'VRK2', 'MAP3K19', 'ERN1', 'CSNK2A1', 'TNK2', 'DYRK1A', 'MAP4K2', 'CAMK2G', 'TYK2', 'GRK1', 'RPS6KA5', 'SIK3', 'DAPK2', 'PAK4', 'CASK', 'RIPK4', 'GAK', 'STK39', 'LTK', 'PHKG2', 'NTRK1', 'RET', 'CAMK2A', 'NTRK3', 'SRPK3', 'TAOK2', 'PRKG2', 'MAPK8', 'MAST1', 'MAP2K4', 'CSNK1A1', 'RPS6KA2', 'MAP3K2', 'SRPK1', 'CAMK2D', 'JAK1', 'CAMK2B', 'IRAK1']",[]
DB01238,DB08877,159,"['ADRB1', 'ADRB2', 'CHRM5', 'CHRM1', 'HTR2A', 'HRH1', 'ABCB1', 'SLC6A4', 'CHRM4', 'KCNH2', 'ADRA2A', 'ADRA1B', 'SLC6A3', 'DRD4', 'CHRM3', 'ADRA2C', 'DRD3', 'DRD2', 'ADRA1A', 'HTR2B', 'HTR1A', 'HTR1D', 'DRD1', 'HTR7', 'ADRA2B', 'SLC6A2', 'DRD5', 'HTR3A', 'HTR2C', 'PRKCG', 'HTR1E', 'HTR1B', 'HTR6', 'CHRM2']","['EPHA3', 'GRK4', 'RIOK3', 'DAPK1', 'SBK1', 'MYLK', 'OXSR1', 'PAK5', 'JAK3', 'EPHB6', 'AURKC', 'MKNK2', 'JAK2', 'PRKCE', 'LRRK2', 'GRK7', 'IKBKB', 'CLK2', 'STK17A', 'MELK', 'BMPR2', 'CLK4', 'MAP3K15', 'BMP2K', 'NUAK2', 'DCLK2', 'MARK2', 'STK17B', 'DMPK', 'PLK3', 'PLK1', 'NEK3', 'MAP2K2', 'DYRK2', 'MAP3K3', 'RPS6KA1', 'HIPK2', 'CDK7', 'CAMK1D', 'IKBKE', 'TBK1', 'ALK', 'ROCK2', 'PI4KB', 'ULK3', 'RIOK2', 'CAMK1G', 'PLK4', 'STK25', 'STK16', 'ROCK1', 'ULK2', 'RIOK1', 'ABL1', 'PLK2', 'TTK', 'STK26', 'HIPK3', 'BMPR1B', 'AAK1', 'MAP3K7', 'KIT', 'RPS6KA4', 'BRAF', 'CAMK1', 'RPS6KA6', 'DCLK3', 'NTRK2', 'MAP2K3', 'PHKG1', 'DCLK1', 'TAOK3', 'DAPK3', 'PAK6', 'MAP2K1', 'TAOK1', 'ULK1', 'CSNK2A2', 'HIPK1', 'MAP3K1', 'NEK7', 'VRK2', 'MAP3K19', 'ERN1', 'CSNK2A1', 'TNK2', 'DYRK1A', 'MAP4K2', 'CAMK2G', 'TYK2', 'GRK1', 'RPS6KA5', 'SIK3', 'DAPK2', 'PAK4', 'CASK', 'RIPK4', 'GAK', 'STK39', 'LTK', 'PHKG2', 'NTRK1', 'RET', 'CAMK2A', 'NTRK3', 'SRPK3', 'TAOK2', 'PRKG2', 'MAPK8', 'MAST1', 'MAP2K4', 'CSNK1A1', 'RPS6KA2', 'MAP3K2', 'SRPK1', 'CAMK2D', 'JAK1', 'CAMK2B', 'IRAK1']",[]
DB06216,DB08877,160,"['ADRB1', 'ADRB2', 'HTR1A', 'HTR1D', 'HTR2A', 'HRH1', 'ADRA2B', 'SLC6A4', 'HTR2C', 'ADRA2A', 'HTR1E', 'ADRA2C', 'DRD3', 'DRD2', 'HTR1B', 'TBXA2R', 'CHRM2']","['EPHA3', 'GRK4', 'RIOK3', 'DAPK1', 'SBK1', 'MYLK', 'OXSR1', 'PAK5', 'JAK3', 'EPHB6', 'AURKC', 'MKNK2', 'JAK2', 'PRKCE', 'LRRK2', 'GRK7', 'IKBKB', 'CLK2', 'STK17A', 'MELK', 'BMPR2', 'CLK4', 'MAP3K15', 'BMP2K', 'NUAK2', 'DCLK2', 'MARK2', 'STK17B', 'DMPK', 'PLK3', 'PLK1', 'NEK3', 'MAP2K2', 'DYRK2', 'MAP3K3', 'RPS6KA1', 'HIPK2', 'CDK7', 'CAMK1D', 'IKBKE', 'TBK1', 'ALK', 'ROCK2', 'PI4KB', 'ULK3', 'RIOK2', 'CAMK1G', 'PLK4', 'STK25', 'STK16', 'ROCK1', 'ULK2', 'RIOK1', 'ABL1', 'PLK2', 'TTK', 'STK26', 'HIPK3', 'BMPR1B', 'AAK1', 'MAP3K7', 'KIT', 'RPS6KA4', 'BRAF', 'CAMK1', 'RPS6KA6', 'DCLK3', 'NTRK2', 'MAP2K3', 'PHKG1', 'DCLK1', 'TAOK3', 'DAPK3', 'PAK6', 'MAP2K1', 'TAOK1', 'ULK1', 'CSNK2A2', 'HIPK1', 'MAP3K1', 'NEK7', 'VRK2', 'MAP3K19', 'ERN1', 'CSNK2A1', 'TNK2', 'DYRK1A', 'MAP4K2', 'CAMK2G', 'TYK2', 'GRK1', 'RPS6KA5', 'SIK3', 'DAPK2', 'PAK4', 'CASK', 'RIPK4', 'GAK', 'STK39', 'LTK', 'PHKG2', 'NTRK1', 'RET', 'CAMK2A', 'NTRK3', 'SRPK3', 'TAOK2', 'PRKG2', 'MAPK8', 'MAST1', 'MAP2K4', 'CSNK1A1', 'RPS6KA2', 'MAP3K2', 'SRPK1', 'CAMK2D', 'JAK1', 'CAMK2B', 'IRAK1']",[]
DB00945,DB08877,161,"['PTGS1', 'PTGS2', 'AKR1C1']","['EPHA3', 'GRK4', 'RIOK3', 'DAPK1', 'SBK1', 'MYLK', 'OXSR1', 'PAK5', 'JAK3', 'EPHB6', 'AURKC', 'MKNK2', 'JAK2', 'PRKCE', 'LRRK2', 'GRK7', 'IKBKB', 'CLK2', 'STK17A', 'MELK', 'BMPR2', 'CLK4', 'MAP3K15', 'BMP2K', 'NUAK2', 'DCLK2', 'MARK2', 'STK17B', 'DMPK', 'PLK3', 'PLK1', 'NEK3', 'MAP2K2', 'DYRK2', 'MAP3K3', 'RPS6KA1', 'HIPK2', 'CDK7', 'CAMK1D', 'IKBKE', 'TBK1', 'ALK', 'ROCK2', 'PI4KB', 'ULK3', 'RIOK2', 'CAMK1G', 'PLK4', 'STK25', 'STK16', 'ROCK1', 'ULK2', 'RIOK1', 'ABL1', 'PLK2', 'TTK', 'STK26', 'HIPK3', 'BMPR1B', 'AAK1', 'MAP3K7', 'KIT', 'RPS6KA4', 'BRAF', 'CAMK1', 'RPS6KA6', 'DCLK3', 'NTRK2', 'MAP2K3', 'PHKG1', 'DCLK1', 'TAOK3', 'DAPK3', 'PAK6', 'MAP2K1', 'TAOK1', 'ULK1', 'CSNK2A2', 'HIPK1', 'MAP3K1', 'NEK7', 'VRK2', 'MAP3K19', 'ERN1', 'CSNK2A1', 'TNK2', 'DYRK1A', 'MAP4K2', 'CAMK2G', 'TYK2', 'GRK1', 'RPS6KA5', 'SIK3', 'DAPK2', 'PAK4', 'CASK', 'RIPK4', 'GAK', 'STK39', 'LTK', 'PHKG2', 'NTRK1', 'RET', 'CAMK2A', 'NTRK3', 'SRPK3', 'TAOK2', 'PRKG2', 'MAPK8', 'MAST1', 'MAP2K4', 'CSNK1A1', 'RPS6KA2', 'MAP3K2', 'SRPK1', 'CAMK2D', 'JAK1', 'CAMK2B', 'IRAK1']",[]
DB08142,DB00987,162,"['DCLK3', 'CDK16', 'CDK5', 'CAMKK2', 'CDK15', 'TAOK3', 'CILK1', 'CLK3', 'CDK4', 'CDK11B', 'TAOK1', 'CDK11A', 'MAK', 'CLK2', 'CDK2', 'DYRK1A', 'CDK9', 'CDK17', 'CLK4', 'TLK1', 'CDK13', 'CDK1', 'DMPK', 'CASK', 'CDK6', 'DCLK2', 'CDK3', 'GSK3A', 'GSK3B', 'DYRK2', 'CDK7', 'CDK14', 'MAPK15', 'SLK', 'TAOK2', 'CDKL5', 'DYRK1B', 'MAPK7', 'CDKL2', 'CDK18', 'CDK19', 'CLK1']",['POLB'],[]
DB08142,DB00822,163,"['DCLK3', 'CDK16', 'CDK5', 'CAMKK2', 'CDK15', 'TAOK3', 'CILK1', 'CLK3', 'CDK4', 'CDK11B', 'TAOK1', 'CDK11A', 'MAK', 'CLK2', 'CDK2', 'DYRK1A', 'CDK9', 'CDK17', 'CLK4', 'TLK1', 'CDK13', 'CDK1', 'DMPK', 'CASK', 'CDK6', 'DCLK2', 'CDK3', 'GSK3A', 'GSK3B', 'DYRK2', 'CDK7', 'CDK14', 'MAPK15', 'SLK', 'TAOK2', 'CDKL5', 'DYRK1B', 'MAPK7', 'CDKL2', 'CDK18', 'CDK19', 'CLK1']","['TRPA1', 'ALDH2', 'MGLL', 'DBH']",[]
DB08142,DB01248,164,"['DCLK3', 'CDK16', 'CDK5', 'CAMKK2', 'CDK15', 'TAOK3', 'CILK1', 'CLK3', 'CDK4', 'CDK11B', 'TAOK1', 'CDK11A', 'MAK', 'CLK2', 'CDK2', 'DYRK1A', 'CDK9', 'CDK17', 'CLK4', 'TLK1', 'CDK13', 'CDK1', 'DMPK', 'CASK', 'CDK6', 'DCLK2', 'CDK3', 'GSK3A', 'GSK3B', 'DYRK2', 'CDK7', 'CDK14', 'MAPK15', 'SLK', 'TAOK2', 'CDKL5', 'DYRK1B', 'MAPK7', 'CDKL2', 'CDK18', 'CDK19', 'CLK1']","['TUBB1', 'BCL2']",[]
DB08142,DB00997,165,"['DCLK3', 'CDK16', 'CDK5', 'CAMKK2', 'CDK15', 'TAOK3', 'CILK1', 'CLK3', 'CDK4', 'CDK11B', 'TAOK1', 'CDK11A', 'MAK', 'CLK2', 'CDK2', 'DYRK1A', 'CDK9', 'CDK17', 'CLK4', 'TLK1', 'CDK13', 'CDK1', 'DMPK', 'CASK', 'CDK6', 'DCLK2', 'CDK3', 'GSK3A', 'GSK3B', 'DYRK2', 'CDK7', 'CDK14', 'MAPK15', 'SLK', 'TAOK2', 'CDKL5', 'DYRK1B', 'MAPK7', 'CDKL2', 'CDK18', 'CDK19', 'CLK1']","['AURKA', 'MMP2', 'TOP2A', 'ABCB1', 'DHCR7']",[]
DB08142,DB00773,166,"['DCLK3', 'CDK16', 'CDK5', 'CAMKK2', 'CDK15', 'TAOK3', 'CILK1', 'CLK3', 'CDK4', 'CDK11B', 'TAOK1', 'CDK11A', 'MAK', 'CLK2', 'CDK2', 'DYRK1A', 'CDK9', 'CDK17', 'CLK4', 'TLK1', 'CDK13', 'CDK1', 'DMPK', 'CASK', 'CDK6', 'DCLK2', 'CDK3', 'GSK3A', 'GSK3B', 'DYRK2', 'CDK7', 'CDK14', 'MAPK15', 'SLK', 'TAOK2', 'CDKL5', 'DYRK1B', 'MAPK7', 'CDKL2', 'CDK18', 'CDK19', 'CLK1']","['TOP2A', 'CASP3']",[]
DB08142,DB06813,167,"['DCLK3', 'CDK16', 'CDK5', 'CAMKK2', 'CDK15', 'TAOK3', 'CILK1', 'CLK3', 'CDK4', 'CDK11B', 'TAOK1', 'CDK11A', 'MAK', 'CLK2', 'CDK2', 'DYRK1A', 'CDK9', 'CDK17', 'CLK4', 'TLK1', 'CDK13', 'CDK1', 'DMPK', 'CASK', 'CDK6', 'DCLK2', 'CDK3', 'GSK3A', 'GSK3B', 'DYRK2', 'CDK7', 'CDK14', 'MAPK15', 'SLK', 'TAOK2', 'CDKL5', 'DYRK1B', 'MAPK7', 'CDKL2', 'CDK18', 'CDK19', 'CLK1']",['DHFR'],[]
DB08142,DB08877,168,"['CDK16', 'CDK5', 'CAMKK2', 'CDK15', 'CILK1', 'CLK3', 'CDK4', 'CDK11B', 'CDK11A', 'MAK', 'CDK2', 'CDK9', 'CDK17', 'TLK1', 'CDK13', 'CDK1', 'CDK6', 'CDK3', 'GSK3A', 'GSK3B', 'CDK14', 'MAPK15', 'SLK', 'CDKL5', 'DYRK1B', 'MAPK7', 'CDKL2', 'CDK18', 'CDK19', 'CLK1']","['EPHA3', 'GRK4', 'RIOK3', 'DAPK1', 'SBK1', 'MYLK', 'OXSR1', 'PAK5', 'JAK3', 'EPHB6', 'AURKC', 'MKNK2', 'JAK2', 'PRKCE', 'LRRK2', 'GRK7', 'IKBKB', 'STK17A', 'MELK', 'BMPR2', 'MAP3K15', 'BMP2K', 'NUAK2', 'MARK2', 'STK17B', 'PLK3', 'PLK1', 'NEK3', 'MAP2K2', 'MAP3K3', 'RPS6KA1', 'HIPK2', 'CAMK1D', 'IKBKE', 'TBK1', 'ALK', 'ROCK2', 'PI4KB', 'ULK3', 'RIOK2', 'CAMK1G', 'PLK4', 'STK25', 'STK16', 'ROCK1', 'ULK2', 'RIOK1', 'ABL1', 'PLK2', 'TTK', 'STK26', 'HIPK3', 'BMPR1B', 'AAK1', 'MAP3K7', 'KIT', 'RPS6KA4', 'BRAF', 'CAMK1', 'RPS6KA6', 'NTRK2', 'MAP2K3', 'PHKG1', 'DCLK1', 'DAPK3', 'PAK6', 'MAP2K1', 'ULK1', 'CSNK2A2', 'HIPK1', 'MAP3K1', 'NEK7', 'VRK2', 'MAP3K19', 'ERN1', 'CSNK2A1', 'TNK2', 'MAP4K2', 'CAMK2G', 'TYK2', 'GRK1', 'RPS6KA5', 'SIK3', 'DAPK2', 'PAK4', 'RIPK4', 'GAK', 'STK39', 'LTK', 'PHKG2', 'NTRK1', 'RET', 'CAMK2A', 'NTRK3', 'SRPK3', 'PRKG2', 'MAPK8', 'MAST1', 'MAP2K4', 'CSNK1A1', 'RPS6KA2', 'MAP3K2', 'SRPK1', 'CAMK2D', 'JAK1', 'CAMK2B', 'IRAK1']","['CLK2', 'DCLK3', 'DYRK1A', 'CLK4', 'DYRK2', 'CASK', 'TAOK3', 'DCLK2', 'DMPK', 'CDK7', 'TAOK2', 'TAOK1']"
DB00732,DB08877,169,['CHRNA2'],"['EPHA3', 'GRK4', 'RIOK3', 'DAPK1', 'SBK1', 'MYLK', 'OXSR1', 'PAK5', 'JAK3', 'EPHB6', 'AURKC', 'MKNK2', 'JAK2', 'PRKCE', 'LRRK2', 'GRK7', 'IKBKB', 'CLK2', 'STK17A', 'MELK', 'BMPR2', 'CLK4', 'MAP3K15', 'BMP2K', 'NUAK2', 'DCLK2', 'MARK2', 'STK17B', 'DMPK', 'PLK3', 'PLK1', 'NEK3', 'MAP2K2', 'DYRK2', 'MAP3K3', 'RPS6KA1', 'HIPK2', 'CDK7', 'CAMK1D', 'IKBKE', 'TBK1', 'ALK', 'ROCK2', 'PI4KB', 'ULK3', 'RIOK2', 'CAMK1G', 'PLK4', 'STK25', 'STK16', 'ROCK1', 'ULK2', 'RIOK1', 'ABL1', 'PLK2', 'TTK', 'STK26', 'HIPK3', 'BMPR1B', 'AAK1', 'MAP3K7', 'KIT', 'RPS6KA4', 'BRAF', 'CAMK1', 'RPS6KA6', 'DCLK3', 'NTRK2', 'MAP2K3', 'PHKG1', 'DCLK1', 'TAOK3', 'DAPK3', 'PAK6', 'MAP2K1', 'TAOK1', 'ULK1', 'CSNK2A2', 'HIPK1', 'MAP3K1', 'NEK7', 'VRK2', 'MAP3K19', 'ERN1', 'CSNK2A1', 'TNK2', 'DYRK1A', 'MAP4K2', 'CAMK2G', 'TYK2', 'GRK1', 'RPS6KA5', 'SIK3', 'DAPK2', 'PAK4', 'CASK', 'RIPK4', 'GAK', 'STK39', 'LTK', 'PHKG2', 'NTRK1', 'RET', 'CAMK2A', 'NTRK3', 'SRPK3', 'TAOK2', 'PRKG2', 'MAPK8', 'MAST1', 'MAP2K4', 'CSNK1A1', 'RPS6KA2', 'MAP3K2', 'SRPK1', 'CAMK2D', 'JAK1', 'CAMK2B', 'IRAK1']",[]
DB00995,DB01243,170,"['PRDX5', 'IKBKB']","['ALOX5', 'ALOX12']",[]
DB00995,DB03994,171,"['PRDX5', 'IKBKB']",['ANXA3'],[]
DB00995,DB09028,172,"['PRDX5', 'IKBKB']",['CHRNA7'],[]
DB00995,DB00317,173,"['PRDX5', 'IKBKB']","['ERBB2', 'EPHA3', 'SRC', 'FLT3', 'MAPK10', 'CSNK1D', 'DCLK3', 'AXL', 'SBK1', 'EPHA6', 'PRKD1', 'EPHB6', 'ERBB4', 'ERBB3', 'MKNK2', 'MET', 'IRAK4', 'KDR', 'CSNK1E', 'MAP3K19', 'EPHB1', 'STK36', 'NLK', 'STK17A', 'MAPK9', 'NUAK2', 'TNIK', 'STK17B', 'ABL2', 'PIP4K2C', 'GAK', 'LCK', 'CHEK2', 'LTK', 'MINK1', 'MAP2K5', 'HIPK4', 'EGFR', 'PHKG2', 'RET', 'MAP3K3', 'EPHB4', 'ABCG2', 'CDK7', 'SLK', 'STK10', 'HCK', 'EPHA5', 'MAP3K2', 'RIPK2', 'FGR', 'ABL1', 'KIT', 'IRAK1', 'RPS6KA4']",[]
DB00995,DB08877,174,['PRDX5'],"['EPHA3', 'GRK4', 'RIOK3', 'DAPK1', 'SBK1', 'MYLK', 'OXSR1', 'PAK5', 'JAK3', 'EPHB6', 'AURKC', 'MKNK2', 'JAK2', 'PRKCE', 'LRRK2', 'GRK7', 'CLK2', 'STK17A', 'MELK', 'BMPR2', 'CLK4', 'MAP3K15', 'BMP2K', 'NUAK2', 'DCLK2', 'MARK2', 'STK17B', 'DMPK', 'PLK3', 'PLK1', 'NEK3', 'MAP2K2', 'DYRK2', 'MAP3K3', 'RPS6KA1', 'HIPK2', 'CDK7', 'CAMK1D', 'IKBKE', 'TBK1', 'ALK', 'ROCK2', 'PI4KB', 'ULK3', 'RIOK2', 'CAMK1G', 'PLK4', 'STK25', 'STK16', 'ROCK1', 'ULK2', 'RIOK1', 'ABL1', 'PLK2', 'TTK', 'STK26', 'HIPK3', 'BMPR1B', 'AAK1', 'MAP3K7', 'KIT', 'RPS6KA4', 'BRAF', 'CAMK1', 'RPS6KA6', 'DCLK3', 'NTRK2', 'MAP2K3', 'PHKG1', 'DCLK1', 'TAOK3', 'DAPK3', 'PAK6', 'MAP2K1', 'TAOK1', 'ULK1', 'CSNK2A2', 'HIPK1', 'MAP3K1', 'NEK7', 'VRK2', 'MAP3K19', 'ERN1', 'CSNK2A1', 'TNK2', 'DYRK1A', 'MAP4K2', 'CAMK2G', 'TYK2', 'GRK1', 'RPS6KA5', 'SIK3', 'DAPK2', 'PAK4', 'CASK', 'RIPK4', 'GAK', 'STK39', 'LTK', 'PHKG2', 'NTRK1', 'RET', 'CAMK2A', 'NTRK3', 'SRPK3', 'TAOK2', 'PRKG2', 'MAPK8', 'MAST1', 'MAP2K4', 'CSNK1A1', 'RPS6KA2', 'MAP3K2', 'SRPK1', 'CAMK2D', 'JAK1', 'CAMK2B', 'IRAK1']",['IKBKB']
DB00995,DB00675,175,"['PRDX5', 'IKBKB']","['ESRRA', 'CYP3A4', 'SIGMAR1', 'EBPL', 'ABCB1', 'ESR1', 'EBP', 'DHCR7', 'HTR6', 'ESR2', 'KCNH2']",[]
DB00995,DB00358,176,"['PRDX5', 'IKBKB']","['ADORA2A', 'HBA1', 'KCNH2']",[]
DB00995,DB00457,177,"['PRDX5', 'IKBKB']","['ADRA1B', 'ADRA2A', 'MT3', 'KCNH7', 'DRD4', 'HTR1D', 'ADRA2C', 'ADRA2B', 'ADRA1A', 'ADRA1D', 'NQO2', 'SLC22A1', 'KCNH2']",[]
DB00928,DB00437,178,['DNMT1'],['XDH'],[]
DB00928,DB01143,179,['DNMT1'],"['ALPG', 'ENPP1']",[]
DB00928,DB01217,180,['DNMT1'],['CYP19A1'],[]
DB00928,DB01169,181,['DNMT1'],"['AKT1', 'IKBKB', 'JUN', 'MAPK1', 'TXNRD1', 'CCND1', 'MAPK3']",[]
DB00928,DB00290,182,['DNMT1'],"['LIG3', 'LIG1']",[]
DB00928,DB00188,183,['DNMT1'],"['PSMB1', 'PSMD2', 'PSMB5', 'PSMD1', 'PSMB2']",[]
DB00928,DB00262,184,['DNMT1'],['GSR'],[]
