drug,protein,Genesym
DB00809,1129,CHRM2
DB00934,1129,CHRM2
DB01019,1129,CHRM2
DB01036,1129,CHRM2
DB01062,1129,CHRM2
DB01085,1129,CHRM2
DB01148,1129,CHRM2
DB01224,1129,CHRM2
DB01238,1129,CHRM2
DB01239,1129,CHRM2
DB01337,1129,CHRM2
DB01409,1129,CHRM2
DB01591,1129,CHRM2
DB06702,1129,CHRM2
DB00536,2593,GAMT
DB00246,151,ADRA2B
DB00268,151,ADRA2B
DB00292,151,ADRA2B
DB00334,151,ADRA2B
DB00363,151,ADRA2B
DB00368,151,ADRA2B
DB00413,151,ADRA2B
DB00484,151,ADRA2B
DB00575,151,ADRA2B
DB00668,151,ADRA2B
DB00697,151,ADRA2B
DB00734,151,ADRA2B
DB00800,151,ADRA2B
DB00925,151,ADRA2B
DB01186,151,ADRA2B
DB01224,151,ADRA2B
DB01238,151,ADRA2B
DB01392,151,ADRA2B
DB06694,151,ADRA2B
DB00227,3156,HMGCR
DB00641,3156,HMGCR
DB01095,3156,HMGCR
DB06693,3156,HMGCR
DB00246,147,ADRA1B
DB00334,147,ADRA1B
DB00346,147,ADRA1B
DB00363,147,ADRA1B
DB00368,147,ADRA1B
DB00388,147,ADRA1B
DB00457,147,ADRA1B
DB00477,147,ADRA1B
DB00590,147,ADRA1B
DB00622,147,ADRA1B
DB00668,147,ADRA1B
DB00679,147,ADRA1B
DB00706,147,ADRA1B
DB00734,147,ADRA1B
DB01162,147,ADRA1B
DB01186,147,ADRA1B
DB01224,147,ADRA1B
DB01238,147,ADRA1B
DB06694,147,ADRA1B
DB00246,1814,DRD3
DB00268,1814,DRD3
DB00334,1814,DRD3
DB00363,1814,DRD3
DB00391,1814,DRD3
DB00413,1814,DRD3
DB00502,1814,DRD3
DB00734,1814,DRD3
DB00988,1814,DRD3
DB01184,1814,DRD3
DB01186,1814,DRD3
DB01224,1814,DRD3
DB01235,1814,DRD3
DB01238,1814,DRD3
DB01239,1814,DRD3
DB01392,1814,DRD3
DB06288,1814,DRD3
DB00905,8644,AKR1C3
DB01698,8644,AKR1C3
DB02266,8644,AKR1C3
DB00140,645,BLVRB
DB00287,5737,PTGFR
DB00905,5737,PTGFR
DB00145,2731,GLDC
DB01586,1646,AKR1C2
DB00121,31,ACACA
DB00651,27115,PDE7B
DB00920,27115,PDE7B
DB08486,3043,HBB
DB00975,10846,PDE10A
DB01113,10846,PDE10A
DB08814,10846,PDE10A
DB00321,4986,OPRK1
DB00370,4986,OPRK1
DB00704,4986,OPRK1
DB00836,4986,OPRK1
DB01183,4986,OPRK1
DB00398,673,BRAF
DB06999,673,BRAF
DB00441,51727,CMPK1
DB00514,116443,GRIN3A
DB00721,116443,GRIN3A
DB00915,116443,GRIN3A
DB00949,116443,GRIN3A
DB01043,116443,GRIN3A
DB01173,116443,GRIN3A
DB01221,116443,GRIN3A
DB01197,4313,MMP2
DB00222,3758,KCNJ1
DB00350,3758,KCNJ1
DB01016,3758,KCNJ1
DB01124,3758,KCNJ1
DB00262,2936,GSR
DB00216,3363,HTR7
DB00246,3363,HTR7
DB00334,3363,HTR7
DB00363,3363,HTR7
DB00751,3363,HTR7
DB01224,3363,HTR7
DB01238,3363,HTR7
DB06288,3363,HTR7
DB00588,5321,PLA2G4A
DB01103,5321,PLA2G4A
DB04552,5321,PLA2G4A
DB00216,3352,HTR1D
DB00246,3352,HTR1D
DB00268,3352,HTR1D
DB00315,3352,HTR1D
DB00334,3352,HTR1D
DB00363,3352,HTR1D
DB00413,3352,HTR1D
DB00669,3352,HTR1D
DB00734,3352,HTR1D
DB00918,3352,HTR1D
DB00952,3352,HTR1D
DB00953,3352,HTR1D
DB01186,3352,HTR1D
DB01224,3352,HTR1D
DB01238,3352,HTR1D
DB01392,3352,HTR1D
DB00210,5914,RARA
DB00459,5914,RARA
DB00799,5914,RARA
DB00982,5914,RARA
DB04942,5914,RARA
DB00363,50632,CALY
DB00831,50632,CALY
DB00780,2875,GPT
DB00393,4306,NR3C2
DB00396,4306,NR3C2
DB00421,4306,NR3C2
DB00588,4306,NR3C2
DB00700,4306,NR3C2
DB01023,4306,NR3C2
DB01395,4306,NR3C2
DB00128,445,ASS1
DB00808,3784,KCNQ1
DB01244,3784,KCNQ1
DB00914,5562,PRKAA1
DB00594,40,ASIC2
DB00308,786,CACNG1
DB00343,786,CACNG1
DB01054,786,CACNG1
DB01083,5406,PNLIP
DB00279,7067,THRA
DB00451,7067,THRA
DB01025,2246,FGF1
DB00270,781,CACNA2D1
DB00308,781,CACNA2D1
DB00381,781,CACNA2D1
DB00401,781,CACNA2D1
DB00622,781,CACNA2D1
DB00996,781,CACNA2D1
DB01023,781,CACNA2D1
DB01054,781,CACNA2D1
DB01115,781,CACNA2D1
DB04838,781,CACNA2D1
DB06712,781,CACNA2D1
DB00195,154,ADRB2
DB00264,154,ADRB2
DB00368,154,ADRB2
DB00373,154,ADRB2
DB00489,154,ADRB2
DB00571,154,ADRB2
DB00612,154,ADRB2
DB00668,154,ADRB2
DB00841,154,ADRB2
DB00867,154,ADRB2
DB00925,154,ADRB2
DB00983,154,ADRB2
DB01001,154,ADRB2
DB01064,154,ADRB2
DB01136,154,ADRB2
DB01193,154,ADRB2
DB01366,154,ADRB2
DB04861,154,ADRB2
DB05039,154,ADRB2
DB00337,2280,FKBP1A
DB00864,2280,FKBP1A
DB00877,2280,FKBP1A
DB08597,2280,FKBP1A
DB00755,9052,GPRC5A
DB00121,5091,PC
DB00308,90134,KCNH7
DB00457,90134,KCNH7
DB00590,90134,KCNH7
DB01110,90134,KCNH7
DB01162,90134,KCNH7
DB00293,2356,FPGS
DB00121,32,ACACB
DB00173,32,ACACB
DB01016,8647,ABCB11
DB00608,7124,TNF
DB01041,7124,TNF
DB01411,7124,TNF
DB00651,5150,PDE7A
DB00920,5150,PDE7A
DB00210,6258,RXRG
DB00307,6258,RXRG
DB00459,6258,RXRG
DB00755,6258,RXRG
DB00222,3767,KCNJ11
DB00308,3767,KCNJ11
DB00661,3767,KCNJ11
DB00922,3767,KCNJ11
DB01016,3767,KCNJ11
DB00170,79001,VKORC1
DB00498,79001,VKORC1
DB00682,79001,VKORC1
DB00321,146,ADRA1D
DB00346,146,ADRA1D
DB00368,146,ADRA1D
DB00388,146,ADRA1D
DB00457,146,ADRA1D
DB00458,146,ADRA1D
DB00590,146,ADRA1D
DB00622,146,ADRA1D
DB00668,146,ADRA1D
DB00706,146,ADRA1D
DB01162,146,ADRA1D
DB01186,146,ADRA1D
DB01224,146,ADRA1D
DB06694,146,ADRA1D
DB00851,23649,POLA2
DB00688,3615,IMPDH2
DB01024,3615,IMPDH2
DB00170,632,BGLAP
DB00128,1615,DARS1
DB00390,476,ATP1A1
DB01021,476,ATP1A1
DB01092,476,ATP1A1
DB01244,476,ATP1A1
DB00115,4548,MTR
DB00200,4548,MTR
DB00402,706,TSPO
DB01178,706,TSPO
DB00184,1135,CHRNA2
DB00483,1135,CHRNA2
DB00514,1135,CHRNA2
DB00565,1135,CHRNA2
DB00674,1135,CHRNA2
DB00721,1135,CHRNA2
DB00728,1135,CHRNA2
DB00732,1135,CHRNA2
DB00810,1135,CHRNA2
DB01245,1135,CHRNA2
DB01337,1135,CHRNA2
DB01339,1135,CHRNA2
DB00201,6261,RYR1
DB04786,6261,RYR1
DB00218,7153,TOP2A
DB00380,7153,TOP2A
DB00444,7153,TOP2A
DB00445,7153,TOP2A
DB00467,7153,TOP2A
DB00487,7153,TOP2A
DB00537,7153,TOP2A
DB00694,7153,TOP2A
DB00773,7153,TOP2A
DB00978,7153,TOP2A
DB00997,7153,TOP2A
DB01059,7153,TOP2A
DB01137,7153,TOP2A
DB01165,7153,TOP2A
DB01177,7153,TOP2A
DB01179,7153,TOP2A
DB01204,7153,TOP2A
DB01208,7153,TOP2A
DB01645,7153,TOP2A
DB04576,7153,TOP2A
DB00145,2742,GLRA2
DB00605,231,AKR1B1
DB01041,2263,FGFR2
DB00368,5053,PAH
DB00668,5053,PAH
DB00246,1813,DRD2
DB00268,1813,DRD2
DB00334,1813,DRD2
DB00363,1813,DRD2
DB00391,1813,DRD2
DB00408,1813,DRD2
DB00413,1813,DRD2
DB00433,1813,DRD2
DB00450,1813,DRD2
DB00477,1813,DRD2
DB00490,1813,DRD2
DB00502,1813,DRD2
DB00543,1813,DRD2
DB00623,1813,DRD2
DB00679,1813,DRD2
DB00734,1813,DRD2
DB00831,1813,DRD2
DB00915,1813,DRD2
DB00988,1813,DRD2
DB01184,1813,DRD2
DB01186,1813,DRD2
DB01221,1813,DRD2
DB01224,1813,DRD2
DB01235,1813,DRD2
DB01238,1813,DRD2
DB01239,1813,DRD2
DB01392,1813,DRD2
DB01425,1813,DRD2
DB04599,1813,DRD2
DB06288,1813,DRD2
DB00145,2903,GRIN2A
DB00949,2903,GRIN2A
DB01043,2903,GRIN2A
DB00688,3614,IMPDH1
DB00811,3614,IMPDH1
DB01024,3614,IMPDH1
DB00115,4552,MTRR
DB00200,4552,MTRR
DB00794,2559,GABRA6
DB00281,1956,EGFR
DB00317,1956,EGFR
DB00530,1956,EGFR
DB01259,1956,EGFR
DB03496,1956,EGFR
DB00704,4988,OPRM1
DB00836,4988,OPRM1
DB00904,4988,OPRM1
DB01183,4988,OPRM1
DB00399,2224,FDPS
DB00630,2224,FDPS
DB00710,2224,FDPS
DB00884,2224,FDPS
DB00115,4594,MMUT
DB00200,4594,MMUT
DB00136,7421,VDR
DB00146,7421,VDR
DB00153,7421,VDR
DB00169,7421,VDR
DB01436,7421,VDR
DB04258,7421,VDR
DB00321,3736,KCNA1
DB01115,3736,KCNA1
DB00627,4837,NNMT
DB00255,2100,ESR2
DB00481,2100,ESR2
DB00675,2100,ESR2
DB00783,2100,ESR2
DB01108,2100,ESR2
DB01196,2100,ESR2
DB01645,2100,ESR2
DB04573,2100,ESR2
DB07933,2100,ESR2
DB00180,2908,NR3C1
DB00351,2908,NR3C1
DB00443,2908,NR3C1
DB00588,2908,NR3C1
DB00591,2908,NR3C1
DB00596,2908,NR3C1
DB00620,2908,NR3C1
DB00635,2908,NR3C1
DB00663,2908,NR3C1
DB00741,2908,NR3C1
DB00834,2908,NR3C1
DB00860,2908,NR3C1
DB00959,2908,NR3C1
DB01013,2908,NR3C1
DB01047,2908,NR3C1
DB01222,2908,NR3C1
DB01234,2908,NR3C1
DB01260,2908,NR3C1
DB01380,2908,NR3C1
DB06781,2908,NR3C1
DB00273,2554,GABRA1
DB00292,2554,GABRA1
DB00402,2554,GABRA1
DB00543,2554,GABRA1
DB00794,2554,GABRA1
DB01205,2554,GABRA1
DB00216,3351,HTR1B
DB00246,3351,HTR1B
DB00268,3351,HTR1B
DB00315,3351,HTR1B
DB00334,3351,HTR1B
DB00363,3351,HTR1B
DB00413,3351,HTR1B
DB00571,3351,HTR1B
DB00669,3351,HTR1B
DB00904,3351,HTR1B
DB00918,3351,HTR1B
DB00952,3351,HTR1B
DB00953,3351,HTR1B
DB01186,3351,HTR1B
DB01224,3351,HTR1B
DB01238,3351,HTR1B
DB01392,3351,HTR1B
DB00973,29881,NPC1L1
DB00260,2671,GFER
DB01242,2950,GSTP1
DB00794,2898,GRIK2
DB00794,2891,GRIA2
DB04599,2891,GRIA2
DB04599,2892,GRIA3
DB00284,8972,MGAM
DB00491,8972,MGAM
DB04878,8972,MGAM
DB01254,6714,SRC
DB04751,6714,SRC
DB08052,6714,SRC
DB01254,2534,FYN
DB01254,7525,YES1
DB01254,1969,EPHA2
DB01254,3932,LCK
DB00184,1137,CHRNA4
DB00674,1137,CHRNA4
DB00794,1137,CHRNA4
DB01273,1137,CHRNA4
DB00184,1141,CHRNB2
DB00674,1141,CHRNB2
DB00619,5156,PDGFRA
DB01268,5156,PDGFRA
DB00619,1436,CSF1R
DB01268,1436,CSF1R
DB01261,1803,DPP4
DB04876,1803,DPP4
DB06335,1803,DPP4
DB00270,8912,CACNA1H
DB00909,8912,CACNA1H
DB01023,8912,CACNA1H
DB01054,8912,CACNA1H
DB01115,8912,CACNA1H
DB01118,8912,CACNA1H
DB01244,8912,CACNA1H
DB04841,8912,CACNA1H
DB00468,2815,GP9
DB07101,5604,MAP2K1
DB01097,2185,PTK2B
DB01645,2185,PTK2B
DB00284,2548,GAA
DB00491,2548,GAA
DB00642,2618,GART
DB00768,6284,S100A13
DB01025,6284,S100A13
DB01708,6822,SULT2A1
DB03496,1020,CDK5
DB01254,6777,STAT5B
DB00928,1786,DNMT1
DB01099,1786,DNMT1
DB01262,1786,DNMT1
DB00594,5328,PLAU
DB00848,251,ALPG
DB01143,251,ALPG
DB00321,3785,KCNQ2
DB00586,3785,KCNQ2
DB00145,212,ALAS2
DB01373,1311,COMP
DB01373,831,CAST
DB00995,25824,PRDX5
DB03608,25824,PRDX5
DB03793,25824,PRDX5
DB01411,6037,RNASE3
DB00626,2,A2M
DB00198,4758,NEU1
DB03496,5837,PYGM
DB06809,7852,CXCR4
DB01064,5594,MAPK1
DB01169,5594,MAPK1
DB02733,5594,MAPK1
DB00201,135,ADORA2A
DB00277,135,ADORA2A
DB00358,135,ADORA2A
DB00640,135,ADORA2A
DB00651,135,ADORA2A
DB01412,135,ADORA2A
DB00446,1604,CD55
DB00200,8029,CUBN
DB00170,5627,PROS1
DB01250,3458,IFNG
DB00246,3362,HTR6
DB00334,3362,HTR6
DB00363,3362,HTR6
DB01224,3362,HTR6
DB01238,3362,HTR6
DB00836,5443,POMC
DB01176,6783,SULT1E1
DB01064,5295,PIK3R1
DB08059,5295,PIK3R1
DB00530,8856,NR1I2
DB00783,8856,NR1I2
DB00977,8856,NR1I2
DB01045,8856,NR1I2
DB01220,8856,NR1I2
DB01183,1385,CREB1
DB01034,2194,FASN
DB01083,2194,FASN
DB03419,1806,DPYD
DB00328,2739,GLO1
DB06698,11255,HRH3
DB00762,7150,TOP1
DB01030,7150,TOP1
DB04690,7150,TOP1
DB01136,4879,NPPB
DB00630,5775,PTPN4
DB00691,59272,ACE2
DB01250,7172,TPMT
DB01202,9900,SV2A
DB04743,4057,LTF
DB00197,2182,ACSL4
DB00412,2182,ACSL4
DB00145,2617,GARS1
DB00780,8639,AOC3
DB01275,8639,AOC3
DB00605,5467,PPARD
DB01393,5467,PPARD
DB01017,54205,CYCS
DB00368,155,ADRB3
DB00571,155,ADRB3
DB01064,155,ADRB3
DB00091,5478,PPIA
DB00877,2247,FGF2
DB08162,6093,ROCK1
DB08756,6093,ROCK1
DB03044,1432,MAPK14
DB07941,1432,MAPK14
DB00831,7134,TNNC1
DB00922,7134,TNNC1
DB01023,7134,TNNC1
DB01244,7134,TNNC1
DB01373,7134,TNNC1
DB01169,595,CCND1
DB00778,5243,ABCB1
DB01411,4583,MUC2
DB00321,4914,NTRK1
DB00619,4914,NTRK1
DB00570,3725,JUN
DB01029,3725,JUN
DB01169,3725,JUN
DB00641,3689,ITGB2
DB00533,2006,ELN
DB01017,3553,IL1B
DB00605,5595,MAPK3
DB01169,5595,MAPK3
DB02733,5595,MAPK3
DB00847,6750,SST
DB00244,4353,MPO
DB00535,4353,MPO
DB00583,4353,MPO
DB01065,4353,MPO
DB01103,8398,PLA2G6
DB00973,290,ANPEP
DB01103,5334,PLCL1
DB03496,983,CDK1
DB01041,4790,NFKB1
DB01411,4790,NFKB1
DB08814,4790,NFKB1
DB00513,5327,PLAT
DB00768,6271,S100A1
DB01136,2697,GJA1
DB01196,4133,MAP2
DB00619,5979,RET
DB00759,5621,PRNP
DB01136,7412,VCAM1
DB00615,3320,HSP90AA1
DB02424,3320,HSP90AA1
DB07594,3320,HSP90AA1
DB00619,780,DDR1
DB00173,4507,MTAP
DB00204,3768,KCNJ12
DB00277,5141,PDE4A
DB00651,5141,PDE4A
DB00920,5141,PDE4A
DB00975,5141,PDE4A
DB00244,3551,IKBKB
DB00795,3551,IKBKB
DB00995,3551,IKBKB
DB01169,3551,IKBKB
DB01017,836,CASP3
DB00615,7184,HSP90B1
DB07615,27306,HPGDS
DB08313,27306,HPGDS
DB01196,4130,MAP1A
DB00608,54106,TLR9
DB01611,54106,TLR9
DB00284,6476,SI
DB00747,6476,SI
DB00768,6285,S100B
DB01373,6285,S100B
DB03880,4317,MMP8
DB00626,3416,IDE
DB00170,1728,NQO1
DB01003,6286,S100P
DB00482,5170,PDPK1
DB01933,5170,PDPK1
DB00887,1080,CFTR
DB01016,1080,CFTR
DB08820,1080,CFTR
DB03880,4321,MMP12
DB03796,6010,RHO
DB00768,6283,S100A12
DB01025,6283,S100A12
DB01213,847,CAT
DB01411,3567,IL5
DB02709,1457,CSNK2A1
DB07715,1457,CSNK2A1
DB02733,1017,CDK2
DB03496,1017,CDK2
DB08142,1017,CDK2
DB00642,471,ATIC
DB02701,683,BST1
DB01708,6820,SULT2B1
DB02789,6820,SULT2B1
DB03010,10376,TUBA1B
DB02656,5292,PIM1
DB04216,5292,PIM1
DB00513,4018,LPA
DB00651,5144,PDE4D
DB00920,5144,PDE4D
DB01954,5144,PDE4D
DB03849,5144,PDE4D
DB04149,5144,PDE4D
DB01783,10432,RBM14
DB02375,5294,PIK3CG
DB02656,5294,PIK3CG
DB04216,5294,PIK3CG
DB08059,5294,PIK3CG
DB00518,7846,TUBA1A
DB00570,7846,TUBA1A
DB00643,7846,TUBA1A
DB03010,7846,TUBA1A
DB03010,51807,TUBA8
DB00518,10383,TUBB4B
DB00643,10383,TUBB4B
DB03010,10383,TUBB4B
DB03010,84790,TUBA1C
DB00541,7277,TUBA4A
DB01179,7277,TUBA4A
DB03010,7277,TUBA4A
DB06772,7277,TUBA4A
DB03010,10382,TUBB4A
DB03010,10381,TUBB3
DB04845,10381,TUBB3
DB04216,3055,HCK
DB03010,7278,TUBA3C
DB02097,7371,UCK2
DB02546,55869,HDAC8
DB04297,55869,HDAC8
DB03880,4325,MMP16
DB00328,5320,PLA2G2A
DB00586,5320,PLA2G2A
DB04786,5320,PLA2G2A
DB00909,771,CA12
DB00999,771,CA12
DB03793,10247,RIDA
DB03424,4048,LTA4H
DB03793,9367,RAB9A
DB02701,142,PARP1
DB07232,142,PARP1
DB03608,5644,PRSS1
DB03754,124583,CANT1
DB00536,445,ASS1
DB06777,9971,NR1H4
DB02733,983,CDK1
DB04331,3832,KIF11
DB02424,3326,HSP90AB1
DB07594,3326,HSP90AB1
DB03496,1022,CDK7
DB01169,7296,TXNRD1
DB03566,7296,TXNRD1
DB04106,7296,TXNRD1
DB00555,6326,SCN2A
DB00818,6326,SCN2A
DB00909,6326,SCN2A
DB00909,6328,SCN3A
DB00586,6329,SCN4A
DB00818,6329,SCN4A
DB00909,6329,SCN4A
DB01195,6329,SCN4A
DB00197,2104,ESRRG
DB00255,2104,ESRRG
DB00323,1312,COMT
DB00494,1312,COMT
DB04820,1312,COMT
DB01065,811,CALR
DB00126,5264,PHYH
DB00091,5535,PPP3R2
DB00104,6755,SSTR5
DB00780,84706,GPT2
DB00115,25974,MMACHC
DB00200,25974,MMACHC
DB00115,4524,MTHFR
DB00382,590,BCHE
DB00545,590,BCHE
DB00674,590,BCHE
DB00989,590,BCHE
DB00608,2939,GSTA2
DB00126,5352,PLOD2
DB00126,8985,PLOD3
DB00752,4129,MAOB
DB00780,4129,MAOB
DB00909,4129,MAOB
DB01037,4129,MAOB
DB01367,4129,MAOB
DB04820,4129,MAOB
DB00126,8424,BBOX1
DB00752,4128,MAOA
DB00780,4128,MAOA
DB00909,4128,MAOA
DB01037,4128,MAOA
DB01171,4128,MAOA
DB04820,4128,MAOA
DB00126,5066,PAM
DB00126,64175,P3H1
DB00126,79676,OGFOD2
DB00437,7498,XDH
DB00583,7498,XDH
DB03841,7498,XDH
DB00126,121642,ALKBH2
DB00126,55214,P3H2
DB03496,1025,CDK9
DB00126,10536,P3H3
DB00126,55239,OGFOD1
DB00126,112398,EGLN2
DB03496,1021,CDK6
DB07795,1021,CDK6
DB00126,221120,ALKBH3
DB00552,100,ADA
DB00975,100,ADA
DB00126,8284,KDM5D
DB02733,1019,CDK4
DB03496,1019,CDK4
DB00126,54583,EGLN1
DB01016,3762,KCNJ5
DB00126,112399,EGLN3
DB00126,55217,TMLHE
DB00126,54681,P4HTM
DB03496,1024,CDK8
DB00128,10606,PAICS
DB00381,774,CACNA1B
DB00661,774,CACNA1B
DB00996,774,CACNA1B
DB01202,774,CACNA1B
DB00128,790,CAD
DB00128,159,ADSS2
DB00128,55157,DARS2
DB00128,80150,ASRGL1
DB00128,122622,ADSS1
DB00128,91703,ACY3
DB00145,2653,GCSH
DB00145,570,BAAT
DB00145,10249,GLYAT
DB00145,51268,PIPOX
DB00170,154807,VKORC1L1
DB00184,1139,CHRNA7
DB00674,1139,CHRNA7
DB00794,1139,CHRNA7
DB01273,1139,CHRNA7
DB00184,55584,CHRNA9
DB00674,55584,CHRNA9
DB00818,2562,GABRB3
DB00818,2561,GABRB2
DB00188,5689,PSMB1
DB00188,5693,PSMB5
DB00188,5690,PSMB2
DB00651,5143,PDE4C
DB00920,5143,PDE4C
DB00270,783,CACNB2
DB00381,783,CACNB2
DB00393,783,CACNB2
DB00401,783,CACNB2
DB00622,783,CACNB2
DB00661,783,CACNB2
DB01023,783,CACNB2
DB01054,783,CACNB2
DB01115,783,CACNB2
DB06712,783,CACNB2
DB00270,779,CACNA1S
DB00381,779,CACNA1S
DB00393,779,CACNA1S
DB00401,779,CACNA1S
DB00661,779,CACNA1S
DB01023,779,CACNA1S
DB01054,779,CACNA1S
DB01115,779,CACNA1S
DB06712,779,CACNA1S
DB00393,785,CACNB4
DB00661,785,CACNB4
DB00393,778,CACNA1F
DB00661,778,CACNA1F
DB00393,784,CACNB3
DB00661,784,CACNB3
DB00270,776,CACNA1D
DB00381,776,CACNA1D
DB00393,776,CACNA1D
DB00401,776,CACNA1D
DB00622,776,CACNA1D
DB00661,776,CACNA1D
DB01023,776,CACNA1D
DB01054,776,CACNA1D
DB01115,776,CACNA1D
DB06712,776,CACNA1D
DB02546,3065,HDAC1
DB00227,3066,HDAC2
DB02546,3066,HDAC2
DB02546,8841,HDAC3
DB02546,10013,HDAC6
DB00905,5733,PTGER3
DB00917,5733,PTGER3
DB08059,5290,PIK3CA
DB01064,5296,PIK3R2
DB01064,8503,PIK3R3
DB00337,2475,MTOR
DB00877,2475,MTOR
DB01590,2475,MTOR
DB06287,2475,MTOR
DB00270,9254,CACNA2D2
DB00996,9254,CACNA2D2
DB01023,9254,CACNA2D2
DB01054,9254,CACNA2D2
DB01118,9254,CACNA2D2
DB01244,9254,CACNA2D2
DB00586,3786,KCNQ3
DB04786,5029,P2RY2
DB04716,3717,JAK2
DB00847,4887,NPY2R
DB00380,7155,TOP2B
DB00694,7155,TOP2B
DB00909,768,CA9
DB00999,768,CA9
DB00914,3764,KCNJ8
DB00922,3764,KCNJ8
DB01251,3764,KCNJ8
DB00242,6241,RRM2
DB01087,3855,KRT7
DB00738,1787,TRDMT1
DB03754,23590,PDSS1
DB00284,279,AMY2A
DB07348,9266,CYTH2
DB00198,1066,CES1
DB00583,1066,CES1
DB01599,1066,CES1
DB04838,1066,CES1
DB00173,55825,PECR
DB01073,1633,DCK
DB03754,79661,NEIL1
DB03793,1371,CPOX
DB03796,3174,HNF4G
DB03796,27095,TRAPPC3
DB01110,10242,KCNMB2
DB00198,4759,NEU2
DB00558,4759,NEU2
DB03994,306,ANXA3
DB00128,6035,RNASE1
DB00536,6035,RNASE1
DB00622,5153,PDE1B
DB01023,5153,PDE1B
DB01244,5153,PDE1B
DB02701,23408,SIRT5
DB04786,23408,SIRT5
DB06852,1111,CHEK1
DB00480,1003,CDH5
DB04703,9212,AURKB
DB07340,9212,AURKB
DB02740,3105,HLA-A
DB04716,3718,JAK3
DB00480,8600,TNFSF11
DB00724,51311,TLR8
DB00917,5734,PTGER4
DB04297,51564,HDAC7
DB00104,6752,SSTR2
DB00811,132,ADK
DB01009,3577,CXCR1
DB01065,438,ASMT
DB01065,6096,RORB
DB01065,8288,EPX
DB00203,5148,PDE6G
DB00862,5148,PDE6G
DB00203,5149,PDE6H
DB00862,5149,PDE6H
DB00820,50940,PDE11A
DB00851,5226,PGD
DB00920,5226,PGD
DB00328,145482,PTGR2
DB00328,11251,PTGDR2
DB00605,11251,PTGDR2
DB00381,55799,CACNA2D3
DB06712,55799,CACNA2D3
DB00381,782,CACNB1
DB00622,5136,PDE1A
DB01023,5136,PDE1A
DB01244,5136,PDE1A
DB01023,7125,TNNC2
DB01373,7125,TNNC2
DB00630,5802,PTPRS
DB00630,5791,PTPRE
DB00630,523,ATP6V1A
DB06733,523,ATP6V1A
DB00399,9453,GGPS1
DB00697,11188,NISCH
DB00561,3777,KCNK3
DB00561,51305,KCNK9
DB00184,1143,CHRNB4
DB00674,1143,CHRNB4
DB00184,1136,CHRNA3
DB00674,1136,CHRNA3
DB00848,1136,CHRNA3
DB01156,1136,CHRNA3
DB01273,1136,CHRNA3
DB00184,1138,CHRNA5
DB00674,1138,CHRNA5
DB00768,6273,S100A2
DB00321,3751,KCND2
DB00458,3751,KCND2
DB00321,3752,KCND3
DB00458,3752,KCND3
DB00242,50484,RRM2B
DB00242,5426,POLE
DB00242,5427,POLE2
DB00242,56655,POLE4
DB00242,54107,POLE3
DB01083,8513,LIPF
DB00909,761,CA3
DB00909,763,CA5A
DB01194,763,CA5A
DB00909,11238,CA5B
DB00909,767,CA8
DB00909,770,CA11
DB00909,23632,CA14
DB00909,6324,SCN1B
DB00909,55800,SCN3B
DB00909,6330,SCN4B
DB00570,51174,TUBD1
DB00570,51175,TUBE1
DB00570,7283,TUBG1
DB00920,5151,PDE8A
DB00920,8622,PDE8B
DB01032,24145,PANX1
DB00379,196,AHR
DB00393,196,AHR
DB00499,196,AHR
DB01097,196,AHR
DB00197,2101,ESRRA
DB01044,23113,CUL9
DB01645,8648,NCOA1
DB03880,11096,ADAMTS5
DB02587,2778,GNAS
DB02587,108,ADCY2
DB02587,111,ADCY5
DB01645,10499,NCOA2
DB08059,5347,PLK1
DB07995,5566,PRKACA
DB08162,5566,PRKACA
DB08568,5566,PRKACA
DB08756,5566,PRKACA
DB07995,5569,PKIA
DB08162,5569,PKIA
DB08568,5569,PKIA
DB08756,5569,PKIA
DB02740,567,B2M
DB02740,28755,TRAC
DB02740,28639,TRBC1
DB00173,52,ACP1
DB04716,1613,DAPK3
DB07995,83903,HASPIN
DB07232,10038,PARP2
DB07340,3619,INCENP
DB07348,375,ARF1
DB04216,498,ATP5F1A
DB08399,498,ATP5F1A
DB04216,506,ATP5F1B
DB08399,506,ATP5F1B
DB04216,509,ATP5F1C
DB08399,509,ATP5F1C
DB02255,10863,ADAM28
DB03880,10863,ADAM28
DB03796,5047,PAEP
DB04751,1456,CSNK1G3
DB04552,5319,PLA2G1B
DB01206,81551,STMN4
DB02255,176,ACAN
DB03793,1610,DAO
DB04716,7297,TYK2
DB03796,5375,PMP2
DB08162,9475,ROCK2
DB08756,9475,ROCK2
DB04751,6195,RPS6KA1
DB08356,5166,PDK4
DB00173,6733,SRPK2
DB02733,6733,SRPK2
DB04216,26275,HIBCH
DB04216,9262,STK17B
DB00126,3938,LCT
DB00831,6275,S100A4
DB01110,3779,KCNMB1
DB01110,3780,KCNN1
DB01110,3781,KCNN2
DB01110,3782,KCNN3
DB00126,151,ADRA2B
DB00170,3620,IDO1
DB00170,7052,TGM2
DB00170,4129,MAOB
DB00170,994,CDC25B
DB00170,316,AOX1
DB00176,6532,SLC6A4
DB00176,6531,SLC6A3
DB00179,3480,IGF1R
DB00179,1588,CYP19A1
DB00179,239,ALOX12
DB00194,1803,DPP4
DB00196,1576,CYP3A4
DB00197,4129,MAOB
DB00201,43,ACHE
DB00201,3757,KCNH2
DB00203,10057,ABCC5
DB00208,1557,CYP2C19
DB00213,6582,SLC22A2
